Organización,Latitud,Longitud,Estado,Metodología de Registro,Tipo de Datos y Productos,Tipo de Organización o Proyecto,Contacto
Observatorio Ciudadano Nacional del Feminicidio (OCNF),19.4326,-99.1332,Ciudad de México,"Monitoreo de medios, judiciales y colectivos; sistematización mensual vía red de 40+ OSC 1) Monitoreo de medios. 2) Acompañamiento legal de casos (fuente primaria). 3) Solicitudes de acceso a la información a fiscalías.","Base interactiva (>3,000 casos), informes anuales, mapas",Base de datos / mapa interactivo,Web: https://observatoriofeminicidiomexico.org
Data Cívica,19.4326,-99.1332,Ciudad de México,"Scraping de datos abiertos, análisis estadístico y geolocalización","Mapa de alertas VG, tasas de feminicidios, dashboards comparativos",Base de datos / mapa interactivo,Web: https://avgmciudadana.datacivica.org
Aquí estamos,19.4326,-99.1332,Ciudad de México,"Empleando el método de monitoreo de medios se recopila, sistematiza y analiza la información publicada por medios de comunicación de los 32 estados de la República Mexicana, sobre feminicidios de niñas y adolescentes.","mapa interactivo, notas informativas, entrevistas, informes",Base de datos / mapa interactivo,Web: https://feminicidioinfantil.com.mx/mapa-interactivo/
Centro para el Desarrollo Integral de la Mujer A.C.,28.6329,-106.0691,Chihuahua,"testimonios primarios directos de familiares, visibilizando impunidad desde 1995-2013 en casos emblemáticos","documentales, testimonios, fotografía de notas, vìctimas y familiares en sitio web",Arte y memoria,Web: https://juntasdenorteasur.com/centro-para-el-desarrollo-integral-de-la-mujer-cedimac-mexico/ | Tel: +65 6617 5235
No estamos todas,25.6866,-100.3161,Nuevo León,Memorial para las mujeres víctimas de violencia feminicida.,Ilustraciones para mujeres víctimas de feminicidio / transfeminicidio,Arte y memoria,Instagram: https://www.instagram.com/noestamostodas/
Marea Verde México,19.4326,-99.1332,Ciudad de México,Monitoreo en movilizaciones y redes sociales,Listados de violencia y feminicidios en contexto activista,Periodismo / documentación independiente,Instagram: https://www.instagram.com/mareaverdemx/?hl=es
Tecnolochicas OSM/Técnicas Rudas,19.4326,-99.1332,Ciudad de México,"crearon un script en R para poder captar datos municipales de feminicidios de la estadística gubernamental, para así poder completar una base de datos en formato CSV y generar un archivo georreferenciado en formato GeoJSON. Estos datos oficiales, junto a los datos registrados por María Salguero y por Odesyr, se mapearon en la plataforma uMap (de OpenStreetMap):","Mapa interactivo, script en R para poder captar datos municipales de feminicidios de la estadística gubernamental, para así poder completar una base de datos en formato CSV y generar un archivo georreferenciado en formato GeoJSON",Base de datos / mapa interactivo,Web: https://gitlab.com/anamhoo/feminicidio https://umap.openstreetmap.co/en/map/feminicidio_mexico_2029#6/23.342/-96.218
La Alcantarilla,21.019,-101.2574,Guanajuato,Los homicidios y feminicidios documentados corresponden a cifras oficiales de la Fiscalía General del Estado y registro en notas periodísticas.,Mapa interactivo y nota periodística,Base de datos / mapa interactivo,Web: https://feminicidiosslp.com/
Centro de Derechos Humanos de las Mujeres (Cedehm),28.6329,-106.0691,Chihuahua,"acompañamiento de mujeres, sus hijos e hijas víctimas de violencia de género, defensora de derechos humano","asesoría y representación legal, incidencia y sensibilización, denuncia y visibilización",Incidencia y defensa legal,Web: https://cedehm.org.mx/es/
Asamblea Feminista del Estado de Chihuahua (AFECH),28.6329,-106.0691,Chihuahua,"Metodología de ""registro comunitario"": prensa, redes sociales, testimonios directos de familias y observación en campo.","exige justicia y alto a la impunidad por feminicidios y desapariciones, denunciando omisión gubernamental, negligencia de la Fiscalía y violencia de género.",Incidencia y defensa legal,Facebook: https://www.facebook.com/p/Asamblea-Feminista-del-Estado-de-Chihuahua-AFECH-100072406154689/
Observatorio de Feminicidio del Grupo de estudios sobre la mujer “Rosario Castellanos» A.C. (GESMujer),17.0653142,-96.7382138,Oaxaca,"La cartografía del feminicidio en Oaxaca por GESMujer (mapeo de feminicidios) fue desarrollado bajo la tecnología de Google Maps, haciendo uso de las capas municipales del INEGI y el registro y seguimiento de cada caso en la entidad oaxaqueña, mismos que han sido publicados en los medios de comunicación locales impresos y digitales.","Mapa interactivo, filtros por año, y tablas con datos",Base de datos / mapa interactivo,"Facebook: https://www.facebook.com/gesmujer.rosario.castellanos.ac | Dirección: Tercera privada de Guadalupe Victoria número 107, colonia Libertad, C.P. 68090, Oaxaca, México | Horario: Lunes a viernes de 9 a 3 pm | Email: contacto@gesmujer.org | Tel. oficina: (+52) 951 516 6810 | WhatsApp: (+52) 951 272 2665"
Colectivo Huaxcayac/Consorcio Oaxaca,17.0732,-96.7266,Oaxaca,feminicidios registrados por el Colectivo Huaxyacac a partir de 2004 ─año en que el comenzó a documentarse la violencia feminicida en el estado ─ a diciembre de 2019.,"Base de datos, informes",Base de datos / mapa interactivo,Web: https://violenciafeminicida.consorciooaxaca.org.mx/feminicidio
Humanas sin Violencia A.C.,19.7068,-101.1943,Michoacán,Monitoreo de alertas VG y llamadas de emergencia,Bases de impunidad y reportes anuales,Observatorio / informe estadístico,"Web: https://rutasparafortalecer.org/osc/humanas-sin-violencia-a-c/ | Dirección: Calle Lomas de Morelia #69 C, colonia Lomas de Morelia, C.P. 58210, Morelia, Michoacán | Tel: 443 141 5655 | Email: lunaerosmagic@gmail.com"
Mesa de Mujeres,28.6329,-106.0691,Chihuahua,"Documentación desde 1993, etnografías de campo algodonero","Informes de impunidad (98%), llamados a justicia",Observatorio / informe estadístico,Web: http://mesademujeresjuarez.org/linea/
Observatorio de Derechos Sexuales y Reproductivos (Odesyr),19.0414,-98.2063,Puebla,Conteo de feminicidio desde 2013 a 2020,Mapa interactivo,Base de datos / mapa interactivo,Web: https://www.google.com/maps/d/u/0/viewer?mid=1ggmdbYsvvK5uWuvL8sdfnz52Ims&hl=en_US&ll=19.13915480558778%2C-98.08653300910669&z=10
Divulvadoras,18.9242,-99.2216,Morelos,Documentaciòn,"performance, arte, manifestaciones, solicitudes a autoridades",Arte y memoria,Facebook: https://www.facebook.com/Divulvadorxs/?locale=es_LA
